	group_name	protein_count	species_count	functional_category	functional_description	metagenome_sample_count	asf_species
814	ENOG4106JGN	2	2	S		12	A519
815	ENOG4106JGC	4	4	S		4	A492
816	ENOG4107RXU	129	128	O	peptidylprolyl cis-trans isomerase	15	A519
817	ENOG4107NFE	2	2	S		1	A502
818	ENOG4106X80	4	4	S		14	A492
819	ENOG4106FVJ	5	5	S		11	A500
820	ENOG4106FV1	6	6	K	Transcriptional regulator	13	A519
821	ENOG4105M8S	6	6	S		6	A502
822	ENOG4105KPF	7	6	S		9	A519
823	ENOG4105KP9	31	30	K	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides (By similarity)	7	A360
824	ENOG410740G	3	2	S	ThiS family	7	A500
825	ENOG4105Y7X	270	260	L	Selectively cleaves double-stranded DNA at the second phosphodiester bond 3' to a deoxyinosine leaving behind the intact lesion on the nicked DNA. Acts in DNA repair (By similarity)	10	A356
826	ENOG4105Y7M	123	110	K	Transcriptional regulator, TetR family	9	A502
827	ENOG4108XQ5	48	45	S	Filamentation induced by cAMP protein fic	14	A492
828	ENOG4108XQ1	38	36	S	acyltransferase 3	2	A519
829	ENOG4105FC4	20	11	S	exported 24-amino acid repeat protein	11	A519
830	ENOG4105FCN	583	502	S	von Willebrand factor	15	A519
831	ENOG4105FCK	273	95	M	Membrane	7	A457
832	ENOG4105FCF	44	41	C	Aldo Keto reductase	13	A502
833	ENOG4105FCS	255	244	J	tRNA rRNA methyltransferase	15	A519
834	ENOG4108RRE	6	6	S		10	A502
835	ENOG41080G2	393	389	J	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)	7	A457
836	ENOG41080GP	31	28	K	RNA polymerase	14	A500
837	ENOG41080GR	11	11	G	Major Facilitator	11	A361
838	ENOG41080GV	30	29	S	L-lysine permease	9	A361
839	ENOG4106B51	16	9	L	transposase	7	A361
840	ENOG4106B55	22	21	S		10	A361
841	ENOG4107SJG	13	13	M	glycosyl transferase, family 9	6	A457
842	ENOG4107SJB	193	146	M	teichoic acid biosynthesis	15	A502
843	ENOG4107SJX	12	12	M	glycosyl transferase group 1	13	A492
844	ENOG4106B5J	21	21	N	flagella synthesis protein	3	A360
845	ENOG4106B5A	15	14	S		11	A457
846	ENOG4106B5D	3	3	S		5	A492
847	ENOG4107M9P	4	4	S	SH3b	13	A457
848	ENOG4107M9J	2	2	S	Protein of unknown function (DUF1016)	11	A356
849	ENOG4108TTI	81	41	T	Anti-feci sigma factor, fecr	15	A519
850	ENOG4106EZ1	4	3	S		4	A356
851	ENOG4106EZ2	8	8	S		14	A519
852	ENOG4108B2Z	2	2	L	Transposase IS116/IS110/IS902 family	15	A361
853	ENOG4108J70	2	2	T	Response regulator receiver domain	8	A519
854	ENOG4108J79	5	5	K	RNA polymerase	15	A519
855	ENOG4108J7K	12	11	S	Antibiotic biosynthesis monooxygenase	4	A360
856	ENOG4108Q8B	95	65	S	Spore germination protein	9	A356
857	ENOG4106ACG	10	5	S		14	A500
858	ENOG4106AC4	5	4	S		6	A492
859	ENOG410788D	2	2	S		4	A492
860	ENOG41084C3	13	13	S	integral membrane protein	9	A361
861	ENOG4107RFA	60	59	J	Glycyl-tRNA synthetase beta subunit	12	A457
862	ENOG4108HJN	4	4	S	Threonyl and Alanyl tRNA synthetase second additional domain	2	A492
863	ENOG4108HJT	98	98	C	Lactoylglutathione lyase	1	A502
864	ENOG4107EW5	5	5	S	Sporulation domain-containing protein	9	A457
865	ENOG4105VJN	36	36	S		3	A502
866	ENOG4105VJH	141	125	M	integral membrane protein CcmA involved in cell shape determination	14	A500
867	ENOG4105VJU	10	10	S	Pfam:DUF1393	8	A500
868	ENOG4105VJ3	29	27	S		4	A500
869	ENOG4108MIM	96	24	S	Transposase	14	A500
870	ENOG4108MI5	49	45	M	domain protein	5	A500
871	ENOG4108MI9	9	8	P	tonB-dependent receptor plug	15	A519
872	ENOG4108MI8	6	6	S	Oxidoreductase family, NAD-binding Rossmann fold	12	A502
873	ENOG4107ATJ	3	2	S		6	A361
874	ENOG4108T1V	85	81	M	Glycosyl Transferase	14	A360
875	ENOG4108T1E	50	41	S	N-6 DNA Methylase	15	A492
876	ENOG41087Y0	68	64	M	Glycosyl transferase, family 2	12	A492
877	ENOG4108YUY	8	8	S		4	A492
878	ENOG4105EC1	57	54	S	AtP-binding protein	15	A502
879	ENOG4105EC7	79	74	K	Transcriptional regulator, MarR family	14	A502
880	ENOG4105EC9	68	62	G	Xylose Isomerase Domain-Containing protein	11	A502
881	ENOG4105ECP	785	686	M	epimerase	12	A519
882	ENOG4105ECB	441	327	S	domain protein	12	A361
883	ENOG4105ECE	73	72	S		14	A457
884	ENOG41078EA	4	3	S		4	A457
885	ENOG41078ET	5	5	S	Pfam:Phage_QLRG	5	A356
886	ENOG41078E6	72	47	S		15	A519
887	ENOG41061JH	14	14	S		3	A502
888	ENOG41071MH	3	3	S		3	A360
889	ENOG4105WYD	6	5	O	Glutathione S-transferase, C-terminal domain	1	A492
890	ENOG4105WYH	56	55	S		11	A457
891	ENOG4105WY1	22	20	S		14	A492
892	ENOG4105WY8	146	116	DJ	addiction module toxin, RelE StbE family	12	A361
893	ENOG4105YZ0	3	3	S		9	A500
894	ENOG4108DPZ	3	3	D	Chain length determinant protein	1	A492
895	ENOG4105YZ2	35	33	S		14	A356
896	ENOG41085Z0	3	3	S	s4 domain protein	10	A500
897	ENOG4108SDH	148	141	V	ABC, transporter	13	A502
898	ENOG4108SD8	28	24	S		14	A492
899	ENOG4108SD5	23	16	T	two component transcriptional regulator, arac family	14	A519
900	ENOG4106FC3	4	4	S		4	A457
901	ENOG4108GA9	10	10	S	Morn variant repeat protein	9	A457
902	ENOG4108GAY	3	3	S	Sporulation related domain	6	A502
903	ENOG4105F6J	231	207	M	Alpha beta hydrolase fold	15	A519
904	ENOG4105R3A	254	228	C	Nitrate reductase	6	A500
905	ENOG41060UV	17	14	S	Response regulator of the LytR AlgR family	10	A502
906	ENOG4106MH8	2	2	K	HTH_ARAC	10	A519
907	ENOG4106Q48	4	4	S		13	A457
908	ENOG41076XC	4	3	S		14	A519
909	ENOG4106WTX	10	6	S		14	A519
910	ENOG4106WTF	465	430	M	Glycosyl transferase, family 2	14	A457
911	ENOG4106E1G	17	16	S		13	A500
912	ENOG4105JGN	20	19	S		11	A519
913	ENOG4106XIW	3	3	S		9	A502
914	ENOG41069HZ	4	4	S		5	A360
915	ENOG4107RQK	172	168	G	phosphomannomutase	15	A519
916	ENOG4107RQC	132	124	M	n-acetylmuramoyl-l-alanine amidase	15	A519
917	ENOG4107RQB	135	134	S	Organic solvent tolerance protein	15	A519
918	ENOG4107RQS	2	2	G	Glycosyl hydrolase family 3 C-terminal domain	15	A519
919	ENOG4107RQR	119	118	L	UvrD REP helicase	15	A519
920	ENOG4107RQT	121	120	C	it plays a direct role in the translocation of protons across the membrane (By similarity)	15	A519
921	ENOG4107RQ1	88	52	M	peptidase, S41	15	A519
922	ENOG4107RQ3	50	38	G	protein TIM barrel	15	A519
923	ENOG41087HV	4	4	S	Inherit from COG: DNA transposition protein	1	A519
924	ENOG410888G	3	3	S		9	A500
925	ENOG4105QH3	12	11	S	Acetyltransferase (GNAT) family	5	A519
926	ENOG4105QH8	11	11	E	Glyoxalase Bleomycin resistance protein (Dioxygenase	3	A492
927	ENOG4105QHI	19	12	S	Protein of unknown function (DUF3486)	12	A356
928	ENOG4107P24	3	3	K		8	A492
929	ENOG4108TNR	40	36	S	Uncharacterised ArCR, COG2043	9	A356
930	ENOG4108TNV	22	21	I	Inherit from NOG: PHOsphatase	14	A500
931	ENOG4108TND	10	10	S	Alpha beta hydrolase	3	A492
932	ENOG4108Q79	598	582	G	6-phosphogluconolactonase (EC 3.1.1.31)	14	A519
933	ENOG4105ZNN	17	13	S		14	A519
934	ENOG4108IU6	6	6	T	Response regulator receiver modulated metal dependent phosphohydrolase	5	A492
935	ENOG4108IUW	47	47	P	ABC transporter	13	A502
936	ENOG4108IUS	368	317	G	Transketolase	13	A492
937	ENOG4108IUR	13	13	J	Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine (By similarity)	6	A457
938	ENOG4108IUQ	124	92	O	atp-dependent protease	6	A356
939	ENOG4108IUB	353	334	C	NQR complex catalyzes the reduction of ubiquinone-1 to ubiquinol by two successive reactions, coupled with the transport of Na( ) ions from the cytoplasm to the periplasm. NqrA to NqrE are probably involved in the second step, the conversion of ubisemiquinone to ubiquinol (By similarity)	15	A519
940	ENOG4108IUH	88	88	I	Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity)	14	A492
941	ENOG4106HN5	3	3	S		2	A500
942	ENOG4106HNR	7	7	S		9	A360
943	ENOG41078P4	3	3	S		9	A356
944	ENOG41061QW	4	4	S		6	A457
945	ENOG4108ZDW	9	8	S	O-linked GlcNAc transferase-putative TPR-containing transmembrane protein	5	A500
946	ENOG4108ZD9	4	4	P	Chromate transport protein	8	A492
947	ENOG41082N0	3	3	S		13	A519
948	ENOG4107S9J	26	20	S	Phage tail sheath protein	10	A519
949	ENOG4107S9S	52	46	S	domain protein	15	A519
950	ENOG410751Q	6	3	S		15	A519
951	ENOG4107510	2	2	GM	Inherit from COG: Nad-dependent epimerase dehydratase	6	A502
952	ENOG4107CCB	2	2	S		15	A500
953	ENOG4108RMJ	78	77	S	sensory transduction regulator	2	A356
954	ENOG4108RM3	23	22	P	Phosphatase with a broad specificity. Its primary physiological function is to dephosphorylate 3'-phosphoadenosine 5'-phosphate (PAP) and 3'-phosphoadenosine 5'-phosphosulfate (PAPS). Thus, plays a role in mycobacterial sulfur metabolism, since it can serve as a key regulator of the sulfate assimilation pathway by controlling the pools of PAP and PAPS in the cell. To a lesser extent, is also able to hydrolyze inositol 1-phosphate (I- 1-P), fructose 1,6-bisphosphate (FBP) (to fructose 6-phosphate (F- 6-P)) and AMP in vitro, but this might has no significance in vivo	4	A519
955	ENOG4108NR5	20	15	S	O-Antigen polymerase	15	A519
956	ENOG4105DAA	728	595	C	L-lactate	14	A492
957	ENOG4105DAB	321	157	C	fumarate reductase succinate dehydrogenase flavoprotein domain protein	9	A457
958	ENOG4105DAN	483	411	O	ATP-dependent protease	12	A356
959	ENOG4105DAI	32	24	S	heme-binding protein	11	A492
960	ENOG4105DAT	211	194	H	cobalamin (vitamin b12) biosynthesis cbix protein	6	A457
961	ENOG4105DAW	33	32	S	Paralysed flagella protein	12	A492
962	ENOG4105DAS	591	476	G	pts system	12	A361
963	ENOG4105DAX	116	113	S	Pfam:DUF2983	14	A492
964	ENOG4105DA4	656	568	O	cytochrome c-type biogenesis protein	13	A457
965	ENOG4107MTD	2	2	S	Tetratricopeptide repeat	7	A492
966	ENOG4105PJ3	14	13	L	Site-specific recombinases, DNA invertase Pin homologs	14	A492
967	ENOG4105PJG	62	61	S		14	A519
968	ENOG4105PJI	13	13	S		9	A502
969	ENOG4106GTM	11	11	S		6	A502
970	ENOG4106GT3	8	8	S		13	A492
971	ENOG4105JRA	7	7	M	Glycosyl Transferase	9	A492
972	ENOG41090R5	26	26	S		3	A519
973	ENOG410833B	3	3	T	TspO/MBR family	6	A519
974	ENOG4105XSH	3	3	S		3	A492
975	ENOG4105XSZ	21	21	T	response regulator	11	A519
976	ENOG4106KSD	5	4	S		15	A519
977	ENOG4107YH0	24	19	S		14	A519
978	ENOG4108IHT	22	21	S		14	A356
979	ENOG4107AKD	2	2	S		14	A492
980	ENOG4107BG2	2	2	S		4	A519
981	ENOG4107BGH	2	2	S		4	A356
982	ENOG4106RUP	63	63	S	Periplasmic protein	14	A519
983	ENOG4105W32	11	9	S	Protein of unknown function (DUF2812)	9	A500
984	ENOG4105W39	409	398	S	Membrane	14	A519
985	ENOG41075FK	3	1	S		15	A519
986	ENOG41075F7	2	2	S		11	A492
987	ENOG41066HN	8	7	S	Helix-turn-helix domain protein	8	A519
988	ENOG41066HE	8	8	S		15	A519
989	ENOG41066HS	5	4	S		4	A356
990	ENOG4106UYD	3	3	S		3	A502
991	ENOG4106UYT	7	7	S		12	A502
992	ENOG4106UY8	3	3	S	LysE type translocator	11	A492
993	ENOG4105DT3	347	209	G	PTS system, galactitol-specific IIc component	15	A502
994	ENOG4105DT0	43	39	S	tripeptidyl aminopeptidase	15	A519
995	ENOG4105DT1	329	254	G	RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate	6	A502
996	ENOG4105DTQ	535	387	M	mandelate racemase muconate lactonizing	11	A502
997	ENOG4105DTI	154	135	EH	Phosphonopyruvate decarboxylase	14	A502
998	ENOG4105DTF	99	93	S	-acetyltransferase	3	A519
999	ENOG4106BG1	4	4	K	HTH_XRE	9	A356
1000	ENOG4108QSX	17	12	S	WD-40-like protein	15	A519
1001	ENOG4107XV5	5	5	S	esterase	10	A356
1002	ENOG4107U2P	5	5	F	Uracil permease	15	A519
1003	ENOG4107XVZ	11	11	S		13	A500
1004	ENOG4105TVT	4	3	S		11	A519
1005	ENOG4105TVU	32	29	K	Transcriptional regulator, ARAC family	13	A502
1006	ENOG4107A78	2	2	S	HPT	3	A457
1007	ENOG4107T8R	57	56	H	1,4-dihydroxy-2-naphthoate octaprenyltransferase	2	A519
1008	ENOG4107474	3	3	S		1	A492
1009	ENOG4105NNC	46	43	S	Mazg nucleotide pyrophosphohydrolase	9	A361
1010	ENOG4105NNA	55	52	S	ferredoxin domain containing protein	14	A519
1011	ENOG4105NNH	120	118	S	LexA regulated protein	5	A500
1012	ENOG4105NNT	40	36	S	Acetyltransferase GNAT Family	14	A492
1013	ENOG4108V1T	1267	817	O	peptidylprolyl cis-trans isomerase	15	A519
1014	ENOG4108V1Y	92	87	S	VTC domain protein	12	A492
1015	ENOG4108V1B	162	136	S	(twin-arginine translocation) pathway signal	13	A519
1016	ENOG4108V1K	8	8	C	Cytochrome b561	1	A356
1017	ENOG4108V12	7	7	L	integrase family	13	A500
1018	ENOG41076Y2	2	2	S		12	A492
1019	ENOG4107MC1	2	2	S	Prokaryotic N-terminal methylation motif	8	A492
1020	ENOG4108ZW0	9	9	M	Inherit from COG: nucleotidyl transferase	12	A492
1021	ENOG4108ZW1	12	12	S		12	A492
1022	ENOG41083K5	9	9	G	isomerase	2	A361
1023	ENOG41067FW	63	61	S	suppressor of fused	15	A519
1024	ENOG4107XC9	3	3	L	DNA methylase n-4 n-6 domain protein	5	A502
1025	ENOG41073UH	2	2	S		4	A356
1026	ENOG4108WKP	9	9	S	Abi-like protein	9	A361
1027	ENOG4106YNU	11	11	S		13	A500
1028	ENOG4105UY7	3	3	S		11	A492
1029	ENOG4105UY8	53	34	S		15	A519
1030	ENOG4107VQE	3	3	C	Coenzyme F420 hydrogenase dehydrogenase, beta	1	A500
1031	ENOG4107BR9	2	2	S		14	A519
1032	ENOG4106R0U	2	2	S		12	A500
1033	ENOG4106R0X	9	3	S		12	A519
1034	ENOG4106R09	8	7	S		4	A519
1035	ENOG4108I7K	13	13	G	pyruvate phosphate dikinase	15	A519
1036	ENOG4107CWV	2	2	S		11	A492
1037	ENOG4107IGW	6	6	S		12	A356
1038	ENOG4107IG5	5	5	S	glyoxalase bleomycin resistance protein dioxygenase	6	A457
1039	ENOG4106IP0	49	28	S	xanthan lyase	9	A519
1040	ENOG4106IPF	3	3	S		5	A519
1041	ENOG4106IPM	19	18	S	Membrane	3	A502
1042	ENOG4106IPI	330	280	E	cyclase, family	13	A502
1043	ENOG4107FKK	378	304	G	extracellular solute-binding protein family 1	13	A361
1044	ENOG4105SCJ	5	5	S		14	A502
1045	ENOG4105P7H	24	22	S		12	A502
1046	ENOG41061Z5	21	13	S	Membrane	15	A519
1047	ENOG41066U2	3	3	S		11	A457
1048	ENOG41066U3	136	46	S	Oxidoreductase domain protein	14	A519
1049	ENOG41066UZ	224	220	E	arginase EC 3.5.3.1	12	A519
1050	ENOG41066UU	246	243	J	tRNA (Adenine-N1-)-methyltransferase	11	A457
1051	ENOG41066UQ	7	7	S		5	A356
1052	ENOG41090YF	13	13	S	Domain of Unknown Function (DUF350) 	4	A519
1053	ENOG41090YC	57	54	S	Family of unknown function (DUF500)	2	A360
1054	ENOG4105MTI	126	123	S	Protein of unknown function (DUF2795)	15	A519
1055	ENOG4105MTH	100	99	S	macrophage migration inhibitory factor	9	A492
1056	ENOG4105MT5	93	54	S	tonB-dependent receptor plug	15	A519
1057	ENOG41089Z6	7	6	M	Peptidase family M23	13	A457
1058	ENOG41085KB	3	3	U	Preprotein translocase SecG subunit	12	A500
1059	ENOG41085KZ	4	4	S	Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division (By similarity)	11	A500
1060	ENOG4107W6S	2	2	J	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance (By similarity)	3	A492
1061	ENOG4107W6Z	2	2	E	Substrate binding domain of ABC-type glycine betaine transport system	5	A492
1062	ENOG4107W6I	5	5	E	PHP domain protein	7	A457
1063	ENOG4107QBD	4	3	O	alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen	10	A457
1064	ENOG4108QF2	46	41	S	ErfK ybiS ycfS ynhG family protein	14	A519
1065	ENOG4108QF7	107	94	K	Transcriptional regulator, ARAC family	14	A500
1066	ENOG4105V5F	13	13	S	HIRAN domain protein	9	A519
1067	ENOG4105V53	28	28	S	Membrane	1	A492
1068	ENOG4105TM8	7	7	S		12	A500
1069	ENOG4107VSG	74	62	G	Major Facilitator Superfamily	10	A502
1070	ENOG4107INP	2	2	S		1	A500
1071	ENOG4105CEB	101	91	E	Aspartate aminotransferase	13	A519
1072	ENOG4105CEC	379	332	L	DNA methylase N-4 N-6	14	A457
1073	ENOG4105CEN	1277	1252	L	a g-specific adenine glycosylase	15	A519
1074	ENOG4105CEX	103	98	S	Endonuclease	14	A519
1075	ENOG4105CE8	791	754	M	Transfers the fatty acyl group on membrane lipoproteins (By similarity)	14	A457
1076	ENOG4106A7Y	57	51	S	prophage antirepressor	15	A519
1077	ENOG4106A70	15	14	S		4	A492
1078	ENOG4105UM2	22	19	S	nlpC P60 family protein	14	A500
1079	ENOG4108VZJ	6	6	S		15	A519
1080	ENOG4108VZ9	6	6	S		10	A500
1081	ENOG410650M	13	13	S		15	A519
1082	ENOG41084QR	4	4	L	Inherit from COG: Exonuclease	10	A492
1083	ENOG41084QJ	11	11	J	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)	12	A500
1084	ENOG41084QN	6	6	S		12	A500
1085	ENOG4105UMY	4	4	S	Sulfotransferase domain	4	A492
1086	ENOG4108KU3	181	135	L	Integrase	13	A457
1087	ENOG4108KU9	42	27	L	integrase family	12	A502
1088	ENOG4108KUE	61	57	S	Protein of unknown function DUF262	14	A457
1089	ENOG4108KUI	125	117	V	(ABC) transporter	4	A492
1090	ENOG4108KUU	18	16	G	Inner membrane metabolite transport protein ydjE	4	A492
1091	ENOG4106NRJ	11	9	S		2	A360
1092	ENOG4106US4	2	2	S		12	A500
1093	ENOG4108M53	36	35	G	L-fucose isomerase, C-terminal domain	15	A502
1094	ENOG4108M5Y	11	9	S		13	A519
1095	ENOG4108M5K	20	16	S	Ragb susd domain-containing protein	13	A519
1096	ENOG4108M5N	12	11	K	Transcriptional regulator, Crp Fnr family	10	A519
1097	ENOG4107VW6	18	18	L	Adenine-specific	12	A492
1098	ENOG41085HB	2	2	DJ	Plasmid stabilization system protein	3	A502
1099	ENOG4107VWE	2	2	L	C-5 cytosine-specific DNA methylase	11	A492
1100	ENOG4106ZR8	5	5	S		12	A492
1101	ENOG4108P54	49	48	E	dihydrodipicolinate	11	A502
1102	ENOG4108P5Q	14	13	O	Heat shock protein	8	A502
1103	ENOG4108D0Y	2	2	S	Protein of unknown function (DUF1104)	4	A519
1104	ENOG4108D0W	2	2	S		10	A356
1105	ENOG41067QN	5	3	S		11	A492
1106	ENOG4106PJW	5	5	S		2	A360
1107	ENOG4106PJV	2	2	T	ATPase histidine kinase DNA gyrase B HSP90 domain protein	15	A519
1108	ENOG41073N1	4	4	S		7	A492
1109	ENOG41073N4	2	2	S	GIYc	1	A361
1110	ENOG41073N6	56	54	S	Nadph-dependent fmn reductase	13	A500
1111	ENOG41073NJ	2	2	S		11	A502
1112	ENOG41068DG	35	35	S	YceG-like family	13	A492
1113	ENOG41068D0	6	5	N	flagellar protein FlaG	4	A519
1114	ENOG41068D5	25	25	S		14	A519
1115	ENOG4105GK7	24	24	M	stage IV sporulation protein FA	4	A356
1116	ENOG4105GK1	43	43	S	Pfam:DUF1239	15	A519
1117	ENOG4107BFN	2	2	S		3	A500
1118	ENOG4106DXG	3	3	S		8	A492
1119	ENOG4106DXU	9	9	S	Colicin immunity protein / pyocin immunity protein	12	A356
1120	ENOG4108W3E	17	17	S	Phosphate-starvation-inducible E	5	A502
1121	ENOG4105YE1	33	26	S	PilZ domain	2	A502
1122	ENOG4106IG0	3	3	S		4	A519
1123	ENOG4106IGJ	189	180	S	Acyl-transferase	15	A519
1124	ENOG4106IGV	38	33	G	Binding-protein-dependent transport systems, inner membrane component	14	A502
1125	ENOG4108EEC	15	14	C	domain protein	11	A502
1126	ENOG4108Q1Q	4	4	S		13	A519
1127	ENOG41062IS	10	10	S		12	A502
1128	ENOG41062I0	26	21	K	Transcriptional Regulator, LuxR family	15	A519
1129	ENOG4105NGC	47	31	S	Membrane	12	A361
1130	ENOG4106S0D	6	5	S		14	A492
1131	ENOG4106S02	2	2	S		4	A360
1132	ENOG4105NG8	150	150	L	acetyltransferase	7	A356
1133	ENOG41074D9	2	2	S		2	A492
1134	ENOG4106QX2	2	2	S		3	A361
1135	ENOG4105NG1	429	370	S	exported protein	5	A457
1136	ENOG4106QXH	5	5	S		10	A356
1137	ENOG4107JQS	13	13	S		15	A519
1138	ENOG4105CRB	63	50	S	AtP-binding protein	13	A502
1139	ENOG4105CRJ	116	110	F	Dihydroorotate dehydrogenase	15	A519
1140	ENOG4105CRW	216	196	I	Short chain fatty acid transporter	10	A457
1141	ENOG4105CRZ	151	135	S	Nucleotidyl transferase of unknown function (DUF1814)	15	A502
1142	ENOG4105CRY	323	319	G	pfkb domain protein	15	A519
1143	ENOG4105CR9	311	140	DZ	regulator of chromosome condensation, RCC1	13	A500
1144	ENOG4108RWW	53	50	M	Glycosyl transferase (Group 1	13	A519
1145	ENOG4105N4A	10	10	S	Uncharacterized protein conserved in bacteria (DUF2321)	6	A500
1146	ENOG4105N4F	5	5	S		12	A492
1147	ENOG4105N4J	5	4	S		9	A492
1148	ENOG4105N42	368	363	S	UPF0307 protein	5	A492
1149	ENOG4105XIQ	66	65	S	Protein of unknown function (DUF2517)	10	A502
1150	ENOG4105XIW	8	8	S		12	A500
1151	ENOG4105XI6	34	33	S	ATP synthase, protein I	7	A457
1152	ENOG4105W4Y	266	101	L	transposase, IS3 IS911 family protein	3	A500
1153	ENOG4106H3A	210	190	V	restriction	15	A500
1154	ENOG4108PS7	8	8	S	SusD family	11	A519
1155	ENOG4108FMT	4	2	K	regulatoR	5	A360
1156	ENOG41079QH	4	1	S		9	A502
1157	ENOG41063M4	6	6	S	Plasmid stabilisation system protein	12	A356
1158	ENOG41077JD	4	4	S		10	A502
1159	ENOG41077JI	2	2	S		5	A502
1160	ENOG41064X8	9	8	S		6	A492
1161	ENOG41064X7	34	23	S		14	A519
1162	ENOG41064XQ	6	5	V	Inherit from COG: (ABC) transporter	7	A360
1163	ENOG41064XN	4	4	S	peptidoglycaN-binding	4	A360
1164	ENOG4106SYQ	2	2	S		8	A500
1165	ENOG4106SY2	5	4	T	Histidine kinase	15	A519
1166	ENOG410834J	48	47	IQ	oxidoreductase, short- chain dehydrogenase reductase	8	A361
1167	ENOG4107MP2	3	3	S		2	A360
1168	ENOG4107MPC	2	2	T	HATPase_c	7	A492
1169	ENOG4106EU4	6	5	S	Protein of unknown function (DUF3626)	3	A360
1170	ENOG4107ZZJ	15	15	G	Major Facilitator superfamily	11	A361
1171	ENOG41089ZP	2	2	C	2Fe-2S iron-sulfur cluster binding domain	1	A492
1172	ENOG41085TF	13	12	V	Inherit from COG: Type II restriction enzyme, methylase	14	A361
1173	ENOG4105RZ2	8	8	S		13	A492
1174	ENOG4105RZG	12	12	V	abc transporter atp-binding protein	10	A492
1175	ENOG4106AXU	6	5	S		3	A519
1176	ENOG410620E	37	37	S		15	A519
1177	ENOG410620F	5	5	S	Domain of unknown function (DUF955)	8	A502
1178	ENOG41090EB	35	32	S	tir protein	11	A492
1179	ENOG41090ED	131	129	S	Protein with unknown function (DUF469)	4	A492
1180	ENOG4108HQ0	180	137	G	Exopolysaccharide biosynthesis protein	13	A356
1181	ENOG4108HQM	40	34	T	Adenylate guanylate Cyclase	12	A492
1182	ENOG4108HQV	22	18	S	tail tape measure protein	15	A492
1183	ENOG4108HQW	56	55	O	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity)	15	A519
1184	ENOG4108HQU	14	12	S	phage tail tape measure protein	15	A492
1185	ENOG4108HQY	8	8	T	integral membrane sensor signal transduction histidine kinase	10	A519
1186	ENOG410641Q	3	3	S		3	A519
1187	ENOG41069UQ	8	8	S	Protein of unknown function (DUF2442)	6	A519
1188	ENOG41069UD	41	36	S		7	A457
1189	ENOG4107US1	17	15	L	Cytosine-specific methyltransferase	13	A492
1190	ENOG4107USW	11	11	G	pfkb domain protein	14	A500
1191	ENOG4107USQ	101	100	S	tetratricopeptide	15	A519
1192	ENOG41079VM	2	2	S		6	A457
1193	ENOG4108334	8	8	S	FlgN protein	14	A492
1194	ENOG410833C	19	18	S	bioY protein	8	A356
1195	ENOG41085WU	3	3	S	Sel1 repeat	10	A492
1196	ENOG41085WY	4	4	S	Protein of unknown function (DUF1312)	4	A457
1197	ENOG41085WG	2	2	S		1	A502
1198	ENOG41085WB	6	5	S		9	A500
1199	ENOG41065Z5	7	7	S		7	A492
1200	ENOG4106HCM	8	8	S		7	A360
1201	ENOG41065ZR	13	12	S		7	A500
1202	ENOG41065ZW	49	45	S	Minor capsid protein	14	A361
1203	ENOG4105EZ3	29	22	L	site-specific recombinase	7	A457
1204	ENOG4105EZI	676	599	U	multiple antibiotic resistance (MarC)-related protein	15	A519
1205	ENOG4105EZB	119	119	S	Family of unknown function (DUF490)	15	A519
1206	ENOG4105EZY	541	420	L	Pyrroloquinoline quinone biosynthesis protein E	15	A492
1207	ENOG4105EZS	261	232	F	DNA RNA NON-specific endonuclease	15	A519
1208	ENOG4105EZR	371	334	P	dyp-type peroxidase family protein	13	A361
1209	ENOG4105SI2	4	4	G		5	A457
1210	ENOG41081P9	7	6	S	Methyltransferase Type	5	A356
